source,site_name,site_id,geometry
ACIS,DUTCH HARBOR NF,20451,"c(-166.53333, 53.88333)"
ACIS,ANNETTE AIRPORT,20462,"c(-131.5787, 55.0389)"
ACIS,COLD BAY AIRPORT,20468,"c(-162.73241, 55.2207)"
ACIS,SAND POINT AP,20472,"c(-160.52083, 55.31944)"
ACIS,BEAVER FALLS,20473,"c(-131.69691, 55.3574)"
ACIS,KETCHIKAN CARLANNA CREEK,20475,"c(-131.7, 55.35)"
ACIS,HOLLIS,20478,"c(-132.62219, 55.4909)"
ACIS,CRAIG,20479,"c(-133.14079, 55.4772)"
ACIS,COFFMAN COVE,20489,"c(-132.83333, 56)"
ACIS,PORT ALEXANDER,20495,"c(-134.6447, 56.2472)"
ACIS,LITTLE PORT WALTER,20498,"c(-134.6497, 56.383)"
ACIS,SITKA AIRPORT,20513,"c(-135.3647, 57.0481)"
ACIS,SAINT PAUL ISLAND AIRPORT,20519,"c(-170.2222, 57.1552)"
ACIS,PELICAN,20543,"c(-136.2213, 57.9577)"
ACIS,SNETTISHAM POWER PLANT,20545,"c(-133.73849, 58.1421)"
ACIS,HOONAH,20547,"c(-135.4277, 58.1071)"
ACIS,KITOI BAY,20551,"c(-152.37219, 58.1913)"
ACIS,ELFIN COVE,20554,"c(-136.34351, 58.1916)"
ACIS,ANNEX CREEK,20558,"c(-134.1003, 58.3183)"
ACIS,JUNEAU AIRPORT,20559,"c(-134.564, 58.3566)"
ACIS,AUKE BAY,20560,"c(-134.645, 58.3814)"
ACIS,GLACIER BAY,20565,"c(-135.8692, 58.4561)"
ACIS,CANYON ISLAND,20566,"c(-133.67889, 58.55)"
ACIS,YAKUTAT AIRPORT,20602,"c(-139.6712, 59.512)"
ACIS,HOMER AIRPORT,20608,"c(-151.4908, 59.642)"
ACIS,HOMER 8 NW,20615,"c(-151.6347, 59.7444)"
ACIS,ILIAMNA AIRPORT,20618,"c(-154.90891, 59.7494)"
ACIS,SEWARD,20631,"c(-149.44389, 60.10389)"
ACIS,SEWARD AIRPORT,20634,"c(-149.41667, 60.12833)"
ACIS,PORT ALSWORTH,20636,"c(-154.3163, 60.2036)"
ACIS,MOOSE PASS 3NW,20647,"c(-149.4261, 60.5029)"
ACIS,CORDOVA AIRPORT,20654,"c(-145.4511, 60.4888)"
ACIS,CORDOVA NORTH,20655,"c(-145.75301, 60.5561)"
ACIS,COOPER LANDING KENAI R,20657,"c(-149.80888, 60.49222)"
ACIS,KENAI AIRPORT,20662,"c(-151.23911, 60.5797)"
ACIS,PORTAGE GLACIER VISITOR CENTER,20671,"c(-148.83888, 60.785)"
ACIS,BETHEL AIRPORT,20674,"c(-161.8293, 60.785)"
ACIS,GIRDWOOD SOUTH,20682,"c(-149.15723, 60.94917)"
ACIS,ALYESKA,20684,"c(-149.11079, 60.9583)"
ACIS,CANNERY CREEK,20685,"c(-147.51469, 61.0183)"
