"dbID","source","uid","name","sids","elev","lat","long","swnd_coverage"
366,"ACIS",32637,"Kodiak Area","ADQthr 9",NA,0,0,100
367,"ACIS",32640,"King Salmon Area","AKNthr 9",NA,0,0,100.6
368,"ACIS",32645,"Anchorage Area","ANCthr 9",NA,0,0,102.5
369,"ACIS",32647,"Annette Area","ANNthr 9",NA,0,0,96.9
370,"ACIS",32657,"Bethel Area","BETthr 9",NA,0,0,99.8
371,"ACIS",32662,"Delta Junction Area","BIGthr 9",NA,0,0,43.4
372,"ACIS",32673,"Barrow Area","BRWthr 9",NA,0,0,101
373,"ACIS",32675,"Bettles Area","BTTthr 9",NA,0,0,101.9
374,"ACIS",32683,"Cold Bay Area","CDBthr 9",NA,0,0,100.8
375,"ACIS",32722,"Fairbanks Area","FAIthr 9",NA,0,0,102.5
376,"ACIS",32736,"Gulkana Area","GKNthr 9",NA,0,0,51.5
377,"ACIS",32749,"Homer Area","HOMthr 9",NA,0,0,50.1
378,"ACIS",32772,"Juneau Area","JNUthr 9",NA,0,0,101.2
379,"ACIS",32790,"Mcgrath Area","MCGthr 9",NA,0,0,101.9
380,"ACIS",32817,"Nome Area","OMEthr 9",NA,0,0,101.4
381,"ACIS",32822,"Kotzebue Area","OTZthr 9",NA,0,0,101.5
382,"ACIS",32863,"St Paul Island Area","SNPthr 9",NA,0,0,95.8
383,"ACIS",32870,"Talkeetna Area","TKAthr 9",NA,0,0,46.2
384,"ACIS",32886,"Yakutat Area","YAKthr 9",NA,0,0,99
511,"ACIS",80224,"Skagway Area","AGYthr 9",NA,0,0,36.5
