OID_,pikaSites_Buffer_Site,ScaledMean,ScaledSTD
1,P003,0.338184122721354,0.042792297801979
2,P005,0.355519051106771,0.009753362567072
3,P008,0.435935705566406,0.026812591531735
4,P007,0.362510711669922,0.024069279050760
5,P042,0.591475000000000,0.013510070355354
6,P037,0.709147623697917,0.020267312363210
7,P051,0.506523828125000,0.059807768276045
8,P038,0.527575012207031,0.013996284874094
9,P039,0.556033333333333,0.006842109766538
10,P157,0.568071419270833,0.029505781983875
11,P060,0.541757153320313,0.006257153320313
12,P153,0.611571435546875,0.026833466621800
13,P118,0.449621429443359,0.026467794671312
14,P063,0.436017852783203,0.090621444336867
15,P250,0.456946423339844,0.010696317284543
16,P128,0.448980948893229,0.044682454621262
17,P135,0.759890478515625,0.034650566434726
18,P133,0.678938102213542,0.048258334498866
19,MV,0.609928564453125,0.022003887840519
20,P146A,0.437838102213542,0.070293555197059
21,Polychrome,0.511900000000000,0.061753772514016
22,P138,0.633057141113281,0.030456946422608
23,P300,0.524133333333333,0.032573365178913
24,P301,0.432414282226563,0.050914165718134
25,P302,0.448995231119792,0.031599234335269
26,P303,0.590214294433594,0.103269681763605
27,P152A,0.381039288330078,0.061977927041879
28,P002,0.311567858886719,0.033023057412859
29,P092,0.424503582763672,0.030323089908724
30,P094,0.291260720825195,0.066574330397861
31,P119,0.371695239257813,0.022937190535118
32,P111,0.370750000000000,0.035546061666519
33,P609,0.507990462239583,0.058010287139099
34,P615,0.164939285278320,0.012831948291941
35,P601,0.529523811848958,0.005400965379491
36,P010A,0.332961897786458,0.032621192838739
37,P616,0.319147623697917,0.003057396678973
38,P617,0.447789288330078,0.074815727316898
39,P604,0.375610711669922,0.025319567372384
40,P605A,0.421060705566406,0.119381854554637
41,P100,0.467623795572917,0.009847350659052
42,P618,0.544917846679688,0.016028594539386
43,P612,0.525304768880208,0.031657739819483
44,P147,0.514238094075521,0.095326646949716
45,P619,0.493057145182292,0.042235268537433
46,JB01,0.348778576660156,0.026382736664729
47,JB02,0.331314288330078,0.037092472728688
