OID_,pikaSites_,MEAN,STD
0,P003,1.004646696540000,0.022161574805900
1,P005,0.991896202690000,0.018532804175700
2,P008,1.030237674710000,0.000000000000000
3,P007,0.951447990537000,0.006540221993350
4,P042,0.497275263071000,0.000000000000000
5,P037,0.474165792976000,0.006462864707270
6,P051,0.508709311485000,0.000000000000000
7,P038,0.483210533857000,0.000000000000000
8,P039,0.495691180229000,0.000000000000000
9,P157,0.505745887756000,0.000000000000000
10,P060,0.511992871761000,0.000000000000000
11,P153,0.497379451990000,0.000000000000000
12,P118,0.798738837242000,0.000000000000000
13,P063,0.768250750868000,0.048614819869700
14,P250,0.784862825274000,0.010466898734800
15,P128,0.778466087580000,0.000476056337357
16,P135,0.570062546266000,0.034927750965400
17,P133,0.435403645039000,0.000000000000000
18,MV,0.809494018555000,0.000000000000000
19,P146A,0.985131287575000,0.075350475311300
20,Polychrome,0.743601613923000,0.014122227219400
21,P138,0.681768502060000,0.066913493714700
22,P300,1.019416975350000,0.067359855477100
23,P301,0.656068027020000,0.000000000000000
24,P302,1.669116761950000,0.016647255884500
25,P303,1.110981131850000,0.015282462469200
26,P152A,0.935749471188000,0.000000000000000
27,P002,0.980046984553000,0.002143108809600
28,P092,0.868332576752000,0.046670163310900
29,P094,0.914753505588000,0.011559689924900
30,P119,0.790530576592000,0.010512832177700
31,P111,0.795332020835000,0.004090841653160
32,P609,1.845231062490000,0.002957004954580
33,P615,1.762929677960000,0.000000000000000
34,P601,0.780049741268000,0.000000000000000
35,P010A,0.938075529902000,0.001273656009050
36,P616,0.862077556158000,0.138572829208000
37,P617,1.392382621770000,0.000000000000000
38,P604,1.815611052510000,0.020976192386700
39,P605A,1.948654651640000,0.076360571311400
40,P100,0.715424628634000,0.001363667938340
41,P618,0.727786466479000,0.005975808002440
42,P612,0.750289738178000,0.000000000000000
43,P147,0.594838619232000,0.000000000000000
44,P619,0.828764796257000,0.000000000000000
45,JB01,1.445717453960000,0.000000000000000
46,JB02,1.568238496780000,0.000000000000000
