OID_,pikaSites_Buffer_Site,MEAN,STD,ScaledMean,ScaledSTD
1,P003,3351.298754882812318,762.032718408671030,0.335129875488281,0.076203271840867
2,P005,3536.714291221216627,121.219999230283932,0.353671429122122,0.012121999923028
3,P008,4297.578125000000000,219.573318805722664,0.429757812500000,0.021957331880572
4,P007,3536.328503417968022,231.991149232380792,0.353632850341797,0.023199114923238
5,P042,5813.721808182565837,225.471411733298908,0.581372180818257,0.022547141173330
6,P037,6868.000023251488528,343.247802554733880,0.686800002325149,0.034324780255473
7,P051,5273.200097656251273,690.153208060295128,0.527320009765625,0.069015320806029
8,P038,5322.218133223684163,225.851191045426049,0.532221813322368,0.022585119104543
9,P039,5525.557756696428442,69.569930829748671,0.552555775669643,0.006956993082975
10,P157,5851.142809416118325,402.459579636246190,0.585114280941612,0.040245957963625
11,P060,5476.022615131580096,209.978768620913030,0.547602261513158,0.020997876862091
12,P153,6057.496325041118325,293.608801178825786,0.605749632504112,0.029360880117883
13,P118,4602.651624177630765,300.500136437620881,0.460265162417763,0.030050013643762
14,P063,4619.067601254111651,848.582375011731870,0.461906760125411,0.084858237501173
15,P250,4761.364233398438046,375.101332778752919,0.476136423339844,0.037510133277875
16,P128,4323.414294433593568,467.862796766784413,0.432341429443359,0.046786279676678
17,P135,7395.225560238486651,333.711727428892118,0.739522556023849,0.033371172742889
18,P133,6888.142968749999454,519.469057567239020,0.688814296875000,0.051946905756724
19,MV,6168.473607113486651,168.202993559692487,0.616847360711349,0.016820299355969
20,P146A,4217.964355468750000,1040.394421662170998,0.421796435546875,0.104039442166217
21,Polychrome,4969.097733347039139,610.030232305757636,0.496909773334704,0.061003023230576
22,P138,6289.285695929276699,296.162819552394865,0.628928569592928,0.029616281955239
23,P300,5170.157128906249454,281.195349384254826,0.517015712890625,0.028119534938426
24,P301,4948.607116699218750,1173.552424737976480,0.494860711669922,0.117355242473798
25,P302,3994.014995374177488,754.443585355046594,0.399401499537418,0.075444358535505
26,P303,6370.729440789474211,1048.913987265372725,0.637072944078947,0.104891398726537
27,P152A,3977.385754394531432,624.398295671433743,0.397738575439453,0.062439829567143
28,P002,3015.835729980469296,331.340009428186818,0.301583572998047,0.033134000942819
29,P092,4469.162011718751273,498.158002417137311,0.446916201171875,0.049815800241714
30,P094,2917.947432668585407,651.001667191117804,0.291794743266859,0.065100166719112
31,P119,3910.469377790178442,659.504497980685528,0.391046937779018,0.065950449798069
32,P111,3681.873019748263687,444.697027504925813,0.368187301974826,0.044469702750493
33,P609,5571.751747532894115,887.716749805431277,0.557175174753289,0.088771674980543
34,P615,1660.764276123046784,306.174830278702757,0.166076427612305,0.030617483027870
35,P601,5517.949975585937864,420.110205355485391,0.551794997558594,0.042011020535549
36,P010A,3125.821362304688137,404.841351938643868,0.312582136230469,0.040484135193864
37,P616,3566.578973067434617,967.717641803358447,0.356657897306743,0.096771764180336
38,P617,4656.127878289473301,730.031670979482783,0.465612787828947,0.073003167097948
39,P604,3715.437332956414139,251.797249856841006,0.371543733295641,0.025179724985684
40,P605A,4453.962325246709042,999.532298231635764,0.445396232524671,0.099953229823164
41,P100,4774.112741570723301,255.584726996625506,0.477411274157072,0.025558472699663
42,P618,5511.557080078124272,151.840007855979565,0.551155708007812,0.015184000785598
43,P612,5117.924868935033373,556.530432712062634,0.511792486893503,0.055653043271206
44,P147,4564.349963378906068,1042.902596801141271,0.456434996337891,0.104290259680114
45,P619,5133.420681423610404,897.283321872333431,0.513342068142361,0.089728332187233
46,JB01,3611.458701685855431,223.911325773483583,0.361145870168586,0.022391132577348
47,JB02,3231.128576660156341,399.485979142004624,0.323112857666016,0.039948597914201
