OID_,pikaSites_Buffer_Site,ScaledMean,ScaledSTD
1,P003,0.221936511230469,0.038233156625992
2,P005,0.267447615559896,0.007925095281979
3,P008,0.329603576660156,0.014682750097411
4,P007,0.245753564453125,0.023044380270223
5,P042,0.390917858886719,0.023080164094884
6,P037,0.427152384440104,0.016066571604393
7,P051,0.265952384440104,0.028432436818767
8,P038,0.269385717773438,0.007018931762112
9,P039,0.269514282226563,0.001131370849898
10,P157,0.352057145182292,0.017770919317292
11,P060,0.317085717773438,0.016814282226563
12,P153,0.335221429443359,0.038130931748156
13,P118,0.255325000000000,0.021707857569841
14,P063,0.281153567504883,0.079927887840684
15,P250,0.260253576660156,0.009474035333816
16,P128,0.235552380371094,0.034546268059910
17,P135,0.426738102213542,0.078982841432704
18,P133,0.440604768880208,0.023745299417732
19,MV,0.406817864990234,0.031475690224749
20,P146A,0.262780952962240,0.061570932029852
21,Polychrome,0.314039282226563,0.054682425773612
22,P138,0.343575000000000,0.018620663261335
23,P300,0.418866666666667,0.056417538193221
24,P301,0.271914286295573,0.082118358163824
25,P302,0.287385709635417,0.027119536002053
26,P303,0.265264282226563,0.089327221832222
27,P152A,0.221692858886719,0.057942483022390
28,P002,0.143635714721680,0.028686144440628
29,P092,0.193464288330078,0.002987758682804
30,P094,0.152121432495117,0.030783986472860
31,P119,0.165871423339844,0.009899494936612
32,P111,0.195414285278320,0.017503281419600
33,P609,0.228242850748698,0.036976748232738
34,P615,0.109582141113281,0.012839877053113
35,P601,0.296347623697917,0.039369010192220
36,P010A,0.211785709635417,0.028203455755641
37,P616,0.198752380371094,0.007158610255405
38,P617,0.175292860412598,0.049279663522535
39,P604,0.227561907958984,0.037153867819195
40,P605A,0.302121429443359,0.103733358783024
41,P100,0.241090470377604,0.017432803230723
42,P618,0.298796429443359,0.011505880395813
43,P612,0.323757145182292,0.045822690297600
44,P147,0.282314290364583,0.060864646639836
45,P619,0.327047623697917,0.021482118343142
46,JB01,0.177732141113281,0.052725918329748
47,JB02,0.176982144165039,0.047728323795112
