"","Predicted","SE","lower","upper","aspect","latitude","vegclass","transect","Location","bogus"
"1",29.2022423029904,6.14517107881176,19.3327522044721,44.1101684076464,2.644766,61.14944,"eds","JB01.ACCS","JBER",0.966004514833912
"2",29.2022423029904,6.14517107881176,19.3327522044721,44.1101684076464,2.644766,61.14944,"eds","JB01.JW","JBER",0.700306271901354
"3",29.2022423029904,6.14517107881176,19.3327522044721,44.1101684076464,2.644766,61.14944,"eds","JB01.T1","JBER",0.815317269181833
"4",16.3548575292429,7.96975231831246,6.29295576743245,42.5048855715965,204.2987,61.14596,"dgh","JB02.ACCS","JBER",0.985974261071533
"5",16.3548575292429,7.96975231831246,6.29295576743245,42.5048855715965,204.2987,61.14596,"dgh","JB02.JW","JBER",0.340656790649518
"6",16.3548575292429,7.96975231831246,6.29295576743245,42.5048855715965,204.2987,61.14596,"dgh","JB02.T1","JBER",0.846283917082474
"7",21.1121971030418,5.77261350736493,12.3535906315787,36.0805922594123,183.5489502,63.43067603,"dds","MV.ACCS","Denali",0.993887063814327
"8",21.1121971030418,5.77261350736493,12.3535906315787,36.0805922594123,183.5489502,63.43067603,"dds","MV.AD","Denali",0.143525260733441
"9",21.1121971030418,5.77261350736493,12.3535906315787,36.0805922594123,183.5489502,63.43067603,"dds","MV.JW","Denali",0.240569100016728
"10",27.221802507924,5.2159683050899,18.6989917935571,39.6292238619917,44.3226166,61.809480004,"eds","P002.JW","Hatcher Pass",0.920032597146928
"11",27.221802507924,5.2159683050899,18.6989917935571,39.6292238619917,44.3226166,61.809480004,"eds","P002.T1","Hatcher Pass",0.813419925281778
"12",27.221802507924,5.2159683050899,18.6989917935571,39.6292238619917,44.3226166,61.809480004,"eds","P002.T2","Hatcher Pass",0.833302942570299
"13",40.6862574245049,6.98963622939952,29.054728090694,56.9742569280241,219.0667572,61.795912,"eds","P003.ACCS","Hatcher Pass",0.126105763483793
"14",40.6862574245049,6.98963622939952,29.054728090694,56.9742569280241,219.0667572,61.795912,"eds","P003.JW","Hatcher Pass",0.499552118591964
"15",32.731487967744,5.56541215177916,23.4549192072236,45.6769982926487,122.0604324,61.781319,"eds","P005.ACCS","Hatcher Pass",0.454522196669132
"16",32.731487967744,5.56541215177916,23.4549192072236,45.6769982926487,122.0604324,61.781319,"eds","P005.AD","Hatcher Pass",0.0355947890784591
"17",32.5430443904699,5.55266065635285,23.2928064693465,45.4668156709158,118.4687881,61.771669,"eds","P007.ACCS","Hatcher Pass",0.249879890820011
"18",32.5430443904699,5.55266065635285,23.2928064693465,45.4668156709158,118.4687881,61.771669,"eds","P007.AD","Hatcher Pass",0.382694211555645
"19",32.5430443904699,5.55266065635285,23.2928064693465,45.4668156709158,118.4687881,61.771669,"eds","P007.JW","Hatcher Pass",0.31151778716594
"20",46.8434265041838,8.84613523516667,32.3521920124401,67.8255929554669,277.7577515,61.7676149,"eds","P008.ACCS","Hatcher Pass",0.932067294837907
"21",46.8434265041838,8.84613523516667,32.3521920124401,67.8255929554669,277.7577515,61.7676149,"eds","P008.AD","Hatcher Pass",0.468499091919512
"22",46.8434265041838,8.84613523516667,32.3521920124401,67.8255929554669,277.7577515,61.7676149,"eds","P008.JW","Hatcher Pass",0.83642708696425
"23",41.7692436346569,7.26430442080885,29.7043301994049,58.7345246332561,226.8164063,61.761572985,"eds","P010A.AD","Hatcher Pass",0.254883493762463
"24",41.7692436346569,7.26430442080885,29.7043301994049,58.7345246332561,226.8164063,61.761572985,"eds","P010A.T2","Hatcher Pass",0.0367220789194107
"25",23.2530483569407,10.3530903899704,9.71615569208792,55.6500199282037,105.7481232,65.500575,"ls","P037.AD","Steese",0.638788109412417
"26",23.2530483569407,10.3530903899704,9.71615569208792,55.6500199282037,105.7481232,65.500575,"ls","P037.JW","Steese",0.444636086467654
"27",18.0236567350461,5.42687104268245,9.98961104066447,32.5190040713702,340.7592468,65.494097,"dds","P038.AD","Steese",0.727212705649436
"28",18.0236567350461,5.42687104268245,9.98961104066447,32.5190040713702,340.7592468,65.494097,"dds","P038.JW","Steese",0.187504353700206
"29",19.7619973410399,6.90034535397877,9.96815297509479,39.178425520055,308.9629517,65.498644,"eds","P039.AD","Steese",0.749326074961573
"30",19.7619973410399,6.90034535397877,9.96815297509479,39.178425520055,308.9629517,65.498644,"eds","P039.JW","Steese",0.0224284844007343
